Date,Open,High,Low,Close,Adj Close,Volume
2003/12/1,75.501999,76.433998,73.042999,75.75,75.75,0
2004/1/1,75.75,76.449997,75.193001,76.150002,76.150002,0
2004/2/1,76.150002,76.309998,75.75,76.099998,76.099998,0
2004/3/1,76.037003,78.194,75.447998,77.400002,77.400002,0
2004/4/1,77.5,78.25,76.255997,77.980003,77.980003,0
2004/5/1,77.980003,79.849998,76.959,79,79,0
2004/6/1,78.949997,79.282997,76.203003,79.050003,79.050003,0
2004/7/1,78.875999,80.400002,75.929001,80.050003,80.050003,0
2004/8/1,80.050003,82.778999,78.681,79.739998,79.739998,0
2004/9/1,79.468002,81.300003,77.879997,80.550003,80.550003,0
2004/10/1,78.068001,81.150002,78.068001,80.849998,80.849998,0
2004/11/1,78.737999,81.069,78.519997,80.849998,80.849998,0
2004/12/1,80.841003,81.015999,75.052002,75.112,75.112,0
2005/1/1,77.949997,79.349998,73.575996,76.849998,76.849998,0
2005/2/1,76.919998,78.349998,72.907997,75.449997,75.449997,0
2005/3/1,73.071999,76.449997,71.119003,74.5,74.5,0
2005/4/1,74.5,76.75,71.600998,76.32,76.32,0
2005/5/1,73.899002,77.25,73.899002,76.599998,76.599998,0
2005/6/1,76.949997,77,72.615997,75.900002,75.900002,0
2005/7/1,76.099998,76.349998,72.401001,75.660004,75.660004,0
2005/8/1,75.949997,76.050003,72.153,75.300003,75.300003,0
2005/9/1,75.669998,75.75,70.314003,73.800003,73.800003,0
2005/10/1,74,74.099998,69.919998,73.374001,73.374001,0
2005/11/1,73.300003,75.879997,70.847,73.75,73.75,0
2005/12/1,73.75,74.099998,68.942001,72.349998,72.349998,0
2006/1/1,72.349998,73.300003,68.918999,71.449997,71.449997,0
2006/2/1,71.449997,73.379997,67.990997,72.300003,72.300003,0
2006/3/1,72.599998,72.650002,68.402,71.178001,71.178001,0
2006/4/1,68.132004,71.702003,67.352997,70.75,70.75,0
2006/5/1,67.352997,72.389999,67.042999,69.188004,69.188004,0
2006/6/1,71.900002,74.349998,68.213997,69.942001,69.942001,0
2006/7/1,70.013,73.949997,69.674004,73.25,73.25,0
2006/8/1,73.199997,73.25,68.908997,72.169998,72.169998,0
2006/9/1,72.349998,73.199997,69.150002,69.150002,69.150002,0
2006/10/1,69.177002,72.650002,68.252998,71.396004,71.396004,0
2006/11/1,71.400002,71.75,67.355003,69.549004,69.549004,0
2006/12/1,69.599998,69.93,66.269997,66.269997,66.269997,0
2007/1/1,66.272003,70.5,66.237,67.403999,67.403999,0
2007/2/1,66.425003,70.110001,65.599998,69.074997,69.074997,0
2007/3/1,66.139999,69.449997,65.695,65.210999,65.210999,0
