"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Electionlag","Election","MaizeYield","ForexRev","WorldPrice","GasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"12","Ghana 2011",2011-05-01,"2011",52369.940336,753.333333333333,5,1.4857,"Ghana",12.9166666666667,0.29788597053171,448.946624486774,"0","0",16458,5483.38903724248,234,110.51,6.30282801305541,1.12943528235882,128.387048841575,-0.0291263181716204
"13","Ghana 2011",2011-06-01,"2011",52369.940336,583.636363636364,6,1.515,"Ghana",12.9166666666667,0.299167200512492,490.36303630363,"0","0",16458,5483.38903724248,478.75,113.85,-5.23125993738192,0.785619011490596,258.859643638637,-0.0291263181716204
"14","Ghana 2011",2011-07-01,"2011",52369.940336,557.777777777778,7,1.505,"Ghana",12.9166666666667,0.302278759037247,501.262458471761,"0","0",16458,5483.38903724248,483.75,116.83,-5.42173557117453,0.739366089313067,330.718954248366,-0.0291263181716204
"15","Ghana 2011",2011-08-01,"2011",52369.940336,556,8,1.5109,"Ghana",12.9166666666667,0.302004209755651,541.928651796942,"0","0",16458,5483.38903724248,475.5,111.83,-5.37072861166265,0.679042501221299,241.513033590135,-0.0291263181716204
"16","Ghana 2011",2011-09-01,"2011",52369.940336,582.222222222222,9,1.5689,"Ghana",12.9166666666667,0.299075684085293,409.012684046147,"0","0",16458,5483.38903724248,508.75,109.98,-5.61785871358952,0.907312174259346,314.008080808081,-0.0291263181716204
"17","Ghana 2011",2011-10-01,"2011",52369.940336,563.333333333333,10,1.5809,"Ghana",12.9166666666667,0.302004209755651,375.355809981656,"0","0",16458,5483.38903724248,493.5,108.78,-5.61432968399576,0.949331535782496,147.515638632913,-0.0291263181716204
"18","Ghana 2011",2011-11-01,"2011",52369.940336,593.333333333333,11,1.6238,"Ghana",12.9166666666667,0.302187242610049,398.016997167139,"0","0",16458,5483.38903724248,481.25,104.56,-5.44547899715017,0.918046314920831,314.285714285714,-0.0291263181716204
"19","Ghana 2011",2011-12-01,"2011",52369.940336,560,12,1.616,"Ghana",12.9166666666667,0.30420060400842,506.683168316832,"0","0",16458,5483.38903724248,423.13,104.4,-5.03172611486303,0.683927699071812,200.486985084435,-0.0291263181716204
"20","Ghana 2012",2012-01-01,"2012",55512.769978,780,1,1.6209,"Ghana",14.4583333333333,0.322503889448156,580.356592016781,"0","1",18712,5367.51432820187,368,98.29,5.42244775687386,0.829169767194642,279.855658832411,-0.126568555831909
"21","Ghana 2012",2012-02-01,"2012",55512.769978,800,2,1.7,"Ghana",14.4583333333333,0.324517250846527,531.705882352941,"0","1",18712,5367.51432820187,375,94.32,5.25322429109145,0.885053656377918,249.064275037369,-0.126568555831909
"22","Ghana 2012",2012-03-01,"2012",55512.769978,1120,3,1.7568,"Ghana",14.4583333333333,0.32497483298252,519.751821493625,"0","1",18712,5367.51432820187,393.13,94.28,6.19192800495516,1.22659073485927,367.147268491586,-0.126568555831909
"23","Ghana 2012",2012-04-01,"2012",55512.769978,1050,4,1.8319,"Ghana",14.4583333333333,0.329825203624051,528.576887384683,"0","1",18712,5367.51432820187,494.38,89.35,5.06004195792388,1.08437467726944,207.165644171779,-0.126568555831909
"24","Ghana 2012",2012-05-01,"2012",55512.769978,1180,5,1.8819,"Ghana",14.4583333333333,0.331747048595223,569.530793347149,"0","1",18712,5367.51432820187,513.13,96.53,5.42845113293201,1.1009516700877,276.671720097978,-0.126568555831909
"25","Ghana 2012",2012-06-01,"2012",55512.769978,1326.66666666667,6,1.9106,"Ghana",14.4583333333333,0.334950123547177,570.606092327018,"0","1",18712,5367.51432820187,456.88,96.09,6.16328450146157,1.21690209747447,398.365214368156,-0.126568555831909
"26","Ghana 2012",2012-07-01,"2012",55512.769978,1346.66666666667,7,1.9323,"Ghana",14.4583333333333,0.338610780635124,543.963152719557,"0","1",18712,5367.51432820187,307.5,100.95,6.65781811349656,1.28119747566042,386.309749405623,-0.126568555831909
"27","Ghana 2012",2012-08-01,"2012",55512.769978,1144.44444444444,8,1.9158,"Ghana",14.4583333333333,0.337238034227144,549.848627205345,"0","1",18712,5367.51432820187,382.5,99.63,6.06319307337722,1.08642912895808,397.47931860948,-0.126568555831909
"28","Ghana 2012",2012-09-01,"2012",55512.769978,942.222222222222,9,1.8874,"Ghana",14.4583333333333,0.333485860711998,475.256967256543,"0","1",18712,5367.51432820187,384.38,98.58,5.43668012923218,1.05041496345844,317.494509997518,-0.126568555831909
"29","Ghana 2012",2012-10-01,"2012",55512.769978,740,10,1.8575,"Ghana",14.4583333333333,0.337604099935939,434.616419919246,"0","1",18712,5367.51432820187,349,105.7,4.59289490669015,0.916635699244395,357.972143056077,-0.126568555831909
"30","Ghana 2012",2012-11-01,"2012",55512.769978,740,11,1.8893,"Ghana",14.4583333333333,0.339800494188707,416.34467792304,"0","1",18712,5367.51432820187,383.5,109.37,2.79848902085982,0.940757691329774,348.372037143772,-0.126568555831909
"31","Ghana 2012",2012-12-01,"2012",55512.769978,740,12,1.8782,"Ghana",14.4583333333333,0.342454470577469,426.152699393036,"0","1",18712,5367.51432820187,375.83,107.04,3.59335940077204,0.924537731134433,396.847801786441,-0.126568555831909
"32","Ghana 2013",2013-01-01,"2013",63702.350905,780,1,1.8808,"Ghana",15.6666666666667,0.354992221103688,413.334751169715,"1","0",17240,5249.2746263869,380,107.61,4.24058809716983,1.00334448160535,301.91235488144,-0.0965914353728294
"33","Ghana 2013",2013-02-01,"2013",63702.350905,1096,2,1.894,"Ghana",15.6666666666667,0.358286812482841,415.311510031679,"1","0",17240,5249.2746263869,415.63,107.54,5.78714898120391,1.39333841851004,443.428572508436,-0.0965914353728294
"34","Ghana 2013",2013-03-01,"2013",63702.350905,1180,3,1.916,"Ghana",15.6666666666667,0.360025624599616,406.941544885178,"1","0",17240,5249.2746263869,395.63,113.68,6.0878537965393,1.51340259074003,316.821635360264,-0.0965914353728294
"35","Ghana 2013",2013-04-01,"2013",63702.350905,1113.33333333333,4,1.9537,"Ghana",15.6666666666667,0.365699643085934,397.911654808824,"1","0",17240,5249.2746263869,365.63,122.81,6.01239459899358,1.43212417459909,323.03261248961,-0.0965914353728294
