"","Location","mean(is.na(`Open Market Retail Price`))"
"1","Ainamoi",0.922619047619048
"2","Asumbi",0.945121951219512
"3","Bondo",0.945121951219512
"4","Bungoma",0.74869109947644
"5","Busia",0.649532710280374
"6","Chebara",0.969512195121951
"7","Eldoret",0.539094650205761
"8","Embu",0.464864864864865
"9","Gatundu",0.707920792079208
"10","Githunguri",0.810975609756098
"11","Homa Bay",0.939024390243902
"12","Kakamega",0.567099567099567
"13","Kapcherop",0.975609756097561
"14","Kapenguria",0.99390243902439
"15","Kapsoit",0.951515151515152
"16","Karatina",0.932926829268293
"17","Karura Kanyungu",0.981707317073171
"18","Keroka",0.887005649717514
"19","Kerugoya",0.847953216374269
"20","Kiambu",0.609649122807018
"21","Kianyaga",0.99390243902439
"22","Kibwezi",0.98780487804878
"23","Kilgoris",0.859550561797753
"24","Kilifi",0.975609756097561
"25","Kimende",0.871951219512195
"26","Kimilili",0.860335195530726
"27","Kisii",0.679611650485437
"28","Kisumu",0.394088669950739
"29","Kitale",0.682080924855491
"30","Kitengela",0.871951219512195
"31","Kwale",0.98780487804878
"32","Litein",0.933333333333333
"33","Loitokitok",0.848484848484849
"34","Lower Kabete",0.896341463414634
"35","Machakos",0.725146198830409
"36","Makueni",0.99390243902439
"37","Makutano",0.98780487804878
"38","Malaba",0.981707317073171
"39","Malindi",0.705314009661836
"40","Maragua",0.981707317073171
"41","Mariakani",0.742718446601942
"42","Meru",0.717171717171717
"43","Migori",0.963414634146341
"44","Molo",0.866279069767442
"45","Mombasa",0.506976744186047
"46","Msambweni",0.981707317073171
"47","Mumias",0.816216216216216
"48","Murang’a",0.762886597938144
"49","Mwea",0.827380952380952
"50","Nairobi",0.165680473372781
"51","Naivasha",0.615384615384615
"52","Nakuru",0.653266331658292
"53","Narok",0.561320754716981
"54","Nkubu",0.916666666666667
"55","Nyahururu",0.781420765027322
"56","Nyamira",0.903954802259887
"57","Nzoia",0.969512195121951
"58","Ol Ng’arua",0.921686746987952
"59","Saboti",0.751269035532995
"60","Sagana",0.794594594594595
"61","Siaya",0.969512195121951
"62","Sirende",0.99390243902439
"63","Sotik",0.981707317073171
"64","Taveta",0.981707317073171
"65","Tenwek",0.88
"66","Thika",0.791907514450867
"67","Timau",0.830601092896175
"68","Vihiga",0.963414634146341
"69","Voi",0.734883720930233
"70","Wamumu",0.903614457831325
"71","Wanguru",0.84971098265896
"72","Webuye",0.88953488372093
"73","Wote",0.981707317073171
"74","Wundanyi",0.99390243902439
