"","Location","mean(is.na(`Open Market Retail Price`))"
"1","Abagana",0.48125
"2","Ado-Ekiti",0.936708860759494
"3","Akure",0.355555555555556
"4","Asaba",0.388235294117647
"5","Awka",0.375722543352601
"6","Babura",0.949367088607595
"7","Benin City",0.292134831460674
"8","Bida",0.936708860759494
"9","Buruku",0.528301886792453
"10","Bwari",0.886075949367089
"11","Gboko",0.37888198757764
"12","Gombe",0.943037974683544
"13","Gwagwalada",0.427672955974843
"14","Gwarzo",0.993670886075949
"15","Ibadan",0.617486338797814
"16","Idah",0.917721518987342
"17","Ikeja",0.392045454545455
"18","Ilorin",0.285024154589372
"19","Iluju",0.993670886075949
"20","Iwo",0.936708860759494
"21","Jalingo",0.833333333333333
"22","Jimeta",0.835443037974684
"23","Kaduna",0.825301204819277
"24","Kano",0.905063291139241
"25","Katsina",0.955696202531646
"26","Kuje",0.987341772151899
"27","Kwale",0.949367088607595
"28","Kwali",0.917721518987342
"29","Lafiagi",0.949367088607595
"30","Minna",0.367816091954023
"31","Mubi",0.981012658227848
"32","Ogbomoso",0.955696202531646
"33","Sabon Gari",0.475
"34","Suleja",0.987341772151899
"35","Tudun Wada",0.4875
"36","Wukari",0.974683544303797
"37","Wuse",0.325443786982249
