"","Location","mean(is.na(`Open Market Retail Price`))"
"1","Chakwe",0.952755905511811
"2","Chibombo",0.646739130434783
"3","Chikankata",0.881944444444444
"4","Chipata",0.586021505376344
"5","Chisamba",0.789772727272727
"6","Choma",0.647798742138365
"7","Isoka",0.826666666666667
"8","Kabwe",0.72
"9","Kalomo",0.854166666666667
"10","Kalulushi",0.821192052980132
"11","Kaoma",0.938931297709924
"12","Kapiri",0.984251968503937
"13","Kapiri Mposhi",0.630522088353414
"14","Kasama",0.923664122137405
"15","Katete",0.805369127516778
"16","Kitwe",0.720779220779221
"17","Luanshya",0.796052631578947
"18","Lufwanyama",0.850340136054422
"19","Lundazi",0.675675675675676
"20","Lusaka",0.51207729468599
"21","Mansa",0.680952380952381
"22","Mazabuka",0.734597156398104
"23","Mkushi",0.558035714285714
"24","Monze",0.775956284153005
"25","Mpika",0.931297709923664
"26","Mpongwe",0.729032258064516
"27","Mufulira",0.846666666666667
"28","Mumbwa",0.657608695652174
"29","Mushindamo",0.992125984251969
"30","Namwala",0.881944444444444
"31","Nyimba",0.861111111111111
"32","Petauke",0.678217821782178
"33","Serenje",0.894366197183099
"34","Siavonga",0.881944444444444
"35","Sinda",0.938931297709924
"36","Solwezi",0.868055555555556
