GDP,LocalUreaPrice,ExchangeRate,RealInterest,CPI,LocalMaizePrice,LocalMaizeYield,ForexRev,WorldUreaPrice,WorldGasPrice,Wedge,UreaMaizeRatio,CorruptionControl,ExchangeRateMovements,CPIMovements,CR4ratioAnnual,MonthlyUreaImportMT,NumFirmsImportingFert,FuelPrice,SharePrivateSectorSalesAnnual
55512.76998,398.384926,1.8575,14.45833333,0.3376041,434.6164199,18712,3233092456,349,105.7,4.592894907,0.916635699,-0.126568556,-0.015968723,0.012273439,0.93,120,23,3.0454,1
55512.76998,391.679458,1.8893,14.45833333,0.339800494,416.3446779,18712,3233092456,383.5,109.37,2.798489021,0.940757691,-0.126568556,0.016974892,0.006484757,0.93,120,23,3.0454,1
55512.76998,393.9942498,1.8782,14.45833333,0.342454471,426.1526994,18712,3233092456,375.83,107.04,3.593359401,0.924537731,-0.126568556,-0.005892519,0.007780053,0.93,120,23,3.0454,1
63702.35091,615.8663883,1.916,15.66666667,0.360025625,406.9415449,17240,3170496391,395.63,113.68,6.087853797,1.513402591,-0.096591435,0.011548685,0.004841391,0.93,120,23,3.0454,1
63702.35091,569.8589002,1.9537,15.66666667,0.365699643,397.9116548,17240,3170496391,365.63,122.81,6.012394599,1.432124175,-0.096591435,0.019485331,0.015637141,0.93,120,23,3.0454,1
63702.35091,497.2650423,2.011,15.66666667,0.373844605,371.7056191,17240,3170496391,329.38,114.37,5.816435523,1.337792642,-0.096591435,0.022173412,0.014796817,0.93,120,23,3.0454,1
63702.35091,479.8888678,2.1116,15.66666667,0.375857967,342.0155332,17240,3170496391,310.63,107.5,5.824585212,1.403120096,-0.096591435,0.010281888,-0.007278053,0.93,120,23,3.0454,1
63702.35091,599.928822,1.9669,15.66666667,0.368353619,384.7170675,17240,3170496391,358.13,118.48,6.181257523,1.559402669,-0.096591435,0.006733689,0.00723105,0.93,120,23,3.0454,1
63702.35091,482.5639625,2.1966,15.66666667,0.381715018,336.1103524,17240,3170496391,296.88,109.03,5.917200534,1.435730733,-0.096591435,0.017404522,0.022303955,0.93,120,23,3.0454,1
63702.35091,478.4688995,2.09,15.66666667,0.378603459,341.1483254,17240,3170496391,312.5,110.09,5.804956675,1.402524544,-0.096591435,0.038531955,0.012649159,0.93,120,23,3.0454,1
