Date,Open,High,Low,Close,Adj Close,Volume
2003/12/1,104.75,104.75,103.400002,104.75,104.75,0
2004/1/1,104.75,105.629997,104.68,105.25,105.25,0
2004/2/1,105.25,105.339996,104.849998,105.25,105.25,0
2004/3/1,105.25,107.349998,104.849998,106.5,106.5,0
2004/4/1,105.459999,107.389999,105.459999,106.5,106.5,0
2004/5/1,106.5,108.190002,106.5,107.5,107.5,0
2004/6/1,106.959999,107.510002,104.860001,106.5,106.5,0
2004/7/1,107.029999,107.610001,105.43,105.75,105.75,0
2004/8/1,105.75,108.129997,104.169998,105.75,105.75,0
2004/9/1,107.620003,108.580002,105.75,105.75,105.75,0
2004/10/1,106.309998,111,105.75,105.75,105.75,0
2004/11/1,106.940002,108.029999,103.699997,105.75,105.75,0
2004/12/1,106.519997,108.089996,105.75,105.75,105.75,0
2005/1/1,105.75,107.739998,102.879997,104.5,104.5,0
2005/2/1,103.400002,105.25,102.949997,105.25,105.25,0
2005/3/1,103.889999,111.049004,102.440002,109.440002,109.440002,0
2005/4/1,109.440002,112.056999,104.029999,108.5,108.5,0
2005/5/1,106.720001,119.360001,105.669998,119.360001,119.360001,0
2005/6/1,119.360001,123.93,108.5,121.766998,121.766998,0
2005/7/1,121.766998,124,115,120,120,0
2005/8/1,120,123.900002,116.260002,120.199997,120.199997,0
2005/9/1,120.199997,124.620003,115,120.599998,120.599998,0
2005/10/1,120.599998,123.389999,118,122.629997,122.629997,0
2005/11/1,121.129997,124.889999,117,117,117,0
2005/12/1,117,125,115.269997,125,125,0
2006/1/1,125,129.699997,117.68,127.019997,127.019997,0
2006/2/1,127.019997,134,119,134,134,0
2006/3/1,134,134.800003,124.269997,128.759995,128.759995,0
2006/4/1,128.580002,135,126.849998,130.979996,130.979996,0
2006/5/1,130.979996,136.5,130.979996,134.869995,134.869995,0
2006/6/1,134.330002,138,131,132.460007,132.460007,0
2006/7/1,132.589996,138,132.589996,133.490005,133.490005,0
2006/8/1,133.550003,135.199997,126,133.589996,133.589996,0
2006/9/1,134.089996,134.089996,126.400002,133.289993,133.289993,0
2006/10/1,133.350006,135,130.369995,132.259995,132.259995,0
2006/11/1,132.169998,134.5,132,133.389999,133.389999,0
2006/12/1,133.300003,136.199997,132.910004,134.600006,134.600006,0
2007/1/1,134.600006,135.660004,130,133.880005,133.880005,0
2007/2/1,133.770004,136.490005,133.770004,134.449997,134.449997,0
2007/3/1,134.399994,135.509995,129.199997,134.5,134.5,0
2007/4/1,134.5,136.279999,134.5,135.860001,135.860001,0
2007/5/1,135.770004,137.830002,129.199997,137.210007,137.210007,0
2007/6/1,135,138.759995,130.5,137.25,137.25,0
2007/7/1,137.240005,140.839996,134,138.539993,138.539993,0
2007/8/1,138.710007,139.229996,134,137.330002,137.330002,0
2007/9/1,137.160004,142.100006,129.899994,136.070007,136.070007,0
2007/10/1,134.5,137.470001,133.5,136.580002,136.580002,0
2007/11/1,136,137.399994,135,139.789993,139.789993,0
2007/12/1,139.169998,142.600006,135,138.690002,138.690002,0
2008/1/1,138.699997,138.699997,135,137.919998,137.919998,0
2008/2/1,137.809998,139.089996,134,138.039993,138.039993,0
2008/3/1,136,139.270004,135,138.440002,138.440002,0
2008/4/1,137.550003,140.100006,135,137.25,137.25,0
2008/5/1,137.550003,140.100006,135,137.529999,137.529999,0
2008/6/1,137.509995,139.869995,136.080002,137.630005,137.630005,0
2008/7/1,139.550003,142.100006,136.080002,138.449997,138.449997,0
2008/8/1,142.550003,147.100006,136.740005,139.070007,139.070007,0
2008/9/1,139.800003,141.240005,131.600006,141.059998,141.059998,0
2008/10/1,141.139999,141.490005,134.949997,139.240005,139.240005,0
2008/11/1,139.240005,141.899994,136.830002,140.220001,140.220001,0
2008/12/1,140,143.600006,135.800003,139.800003,139.800003,0
2009/1/1,139.850006,142.75,135.440002,137.149994,137.149994,0
2009/2/1,137.149994,139.699997,135.240005,137.399994,137.399994,0
2009/3/1,137,139,133.470001,137.580002,137.580002,0
2009/4/1,138.759995,140.100006,136,139.580002,139.580002,0
2009/5/1,139.729996,141,136.100006,139.429993,139.429993,0
2009/6/1,141,145,135,139.679993,139.679993,0
2009/7/1,135,140.149994,132,138.110001,138.110001,0
2009/8/1,138,139.619995,129.899994,138.679993,138.679993,0
2009/9/1,138.130005,139.759995,133,137.910004,137.910004,0
2009/10/1,138.210007,139.970001,136.639999,139.509995,139.509995,0
2009/11/1,138.630005,140.479996,137.320007,139.899994,139.899994,0
2009/12/1,140.520004,144.449997,138.919998,139.660004,139.660004,0
2010/1/1,140.789993,144.570007,138.460007,144.350006,144.350006,0
2010/2/1,143.649994,148.970001,143.279999,147.029999,147.029999,0
2010/3/1,147.729996,149.559998,147,149.5,149.5,0
2010/4/1,147.850006,149.554993,146.839996,149.5,149.5,0
2010/5/1,147.919998,150.050003,145.279999,147.470001,147.470001,0
2010/6/1,147.25,150.699997,146.460007,150.199997,150.199997,0
2010/7/1,148.279999,151.25,145.970001,150.550003,150.550003,0
2010/8/1,148.009995,150.550003,147.520004,148.300003,148.300003,0
2010/9/1,147.649994,151.550003,147.539993,149,149,0
2010/10/1,147.770004,152,142.710007,150.25,150.25,0
2010/11/1,148.270004,151.550003,147.710007,151,151,0
2010/12/1,147.759995,151.25,147.300003,150,150,0
2011/1/1,148.240005,148.830002,147.110001,149.740005,149.740005,0
2011/2/1,148.690002,150.139999,147.240005,150.25,150.25,0
2011/3/1,148.820007,151,147.190002,150.699997,150.699997,0
2011/4/1,148.320007,151.25,147.039993,151,151,0
2011/5/1,148.839996,150.779999,147.259995,147.990005,147.990005,0
2011/6/1,150,150,146.509995,151,151,0
2011/7/1,147.520004,150.800003,146.660004,151,151,0
2011/8/1,147.330002,164.699997,145.639999,164,164,0
2011/9/1,162.990005,165.830002,160.720001,163.020004,163.020004,0
2011/10/1,161.75,165.660004,161.75,165.740005,165.740005,0
2011/11/1,168.580002,168.580002,160.210007,162.460007,162.460007,0
2011/12/1,159.270004,163.539993,159.270004,160.169998,160.169998,0
2012/1/1,160.490005,164.399994,159.75,160.740005,160.740005,0
2012/2/1,164,166.449997,160.229996,167.25,167.25,0
2012/3/1,163.990005,167.25,162.080002,162.759995,162.759995,0
2012/4/1,164.449997,167.25,160.220001,163,163,0
2012/5/1,166,266.5,163,266.73999,266.73999,0
2012/6/1,266.820007,270.940002,261.055511,265.470001,265.470001,0
2012/7/1,266.329987,273.730011,266.329987,267.209991,267.209991,0
2012/8/1,267.170013,270.459991,264.970001,267.940002,267.940002,0
2012/9/1,267.390015,303.399994,264.570007,303.399994,303.399994,0
2012/10/1,297.920013,314.920013,267.440002,309.950012,309.950012,0
2012/11/1,301.940002,325.48999,299.980011,317,317,0
2012/12/1,319.940002,332.519989,311,320.049988,320.049988,0
2013/1/1,320.970001,621,316.929993,354.940002,354.940002,0
2013/2/1,356.899994,378.880005,3.5,376.76001,376.76001,0
2013/3/1,378.880005,384.5,350,383.98999,383.98999,0
2013/4/1,380,413.100006,370,380,380,0
2013/5/1,394.470001,412.269989,320,320,320,0
2013/6/1,325,328.670013,310,324.369995,324.369995,0
2013/7/1,324.290009,331.880005,305,317,317,0
2013/8/1,322.880005,332.040009,310,324.429993,324.429993,0
2013/9/1,322.950012,367.029999,315,362.570007,362.570007,0
2013/10/1,362.059998,391.940002,345,391.929993,391.929993,0
2013/11/1,363.029999,407.559998,355,407.559998,407.559998,0
2013/12/1,407.559998,431,375,406,406,0
2014/1/1,427.730011,449.779999,406.929993,412,412,0
2014/2/1,421.450012,427.019989,410,410,410,0
2014/3/1,419.369995,423.109985,400,401.529999,401.529999,0
2014/4/1,397.799988,409.619995,80,380,380,0
2014/5/1,388.480011,393.980011,380,385,385,0
2014/6/1,387.079987,392.98999,375,385,385,0
2014/7/1,390.350006,394.76001,380,385,385,0
2014/8/1,394.51001,400.51001,385,391.079987,391.079987,0
2014/9/1,391.220001,397.630005,384,390.200012,390.200012,0
2014/10/1,390.720001,457.959991,385,452.670013,452.670013,0
2014/11/1,456.399994,493.73999,450,489.170013,489.170013,0
2014/12/1,495.51001,496.149994,446,445,445,0
2015/1/1,469.910004,472.380005,40,440,440,0
2015/2/1,451.519989,453.459991,423.140015,441,441,0
2015/3/1,438.570007,451,421.209991,435,435,0
2015/4/1,434.279999,441.799988,425,435,435,0
2015/5/1,435.890015,457.700012,423.359985,430,430,0
2015/6/1,439.869995,444.26001,425.899994,440,440,0
2015/7/1,439.380005,511.630005,430,433,433,0
2015/8/1,511.459991,555.950012,480,552.640015,552.640015,0
2015/9/1,552.789978,559.710022,448,540,540,0
2015/10/1,553.960022,562.030029,535,540,540,0
2015/11/1,556.289978,603.640015,551,597.559998,597.559998,0
2015/12/1,604.150024,663.969971,574,658.390015,658.390015,0
2016/1/1,666.140015,724.309998,605,697.22998,697.22998,0
2016/2/1,729.919983,752.76001,550,645,645,0
2016/3/1,729.469971,740,550,680.530029,680.530029,0
2016/4/1,680.73999,682.950012,610,679.950012,679.950012,0
2016/5/1,678.950012,708.940002,612,705.190002,705.190002,0
2016/6/1,706.52002,712.030029,550,706.48999,706.48999,0
2016/7/1,711.76001,716.890015,638,712.140015,712.140015,0
2016/8/1,712.450012,723.73999,631,718.440002,718.440002,0
2016/9/1,716.47998,722.169983,708,717.900024,717.900024,0
2016/10/1,713.48999,720.73999,630,713.039978,713.039978,0
2016/11/1,715.929993,730,705,716.549988,716.549988,0
2016/12/1,724.97998,733.179993,708.059998,712.119995,712.119995,0
2017/1/1,717.030029,729.059998,709,719.200012,719.200012,0
2017/2/1,718.789978,726.070007,710,710,710,0
2017/3/1,724.679993,728.320007,706,725.840027,725.840027,0
2017/4/1,722.349976,725.469971,709.659973,725.469971,725.469971,0
2017/5/1,724.799988,726.419983,709.77002,711,711,0
2017/6/1,720.859985,726.059998,710,719.830017,719.830017,0
2017/7/1,720.619995,722.909973,710,720.179993,720.179993,0
2017/8/1,717.289978,727.530029,711,725.570007,725.570007,0
2017/9/1,719.289978,730.219971,710,720.539978,720.539978,0
2017/10/1,722.47998,733.140015,712.97998,721.849976,721.849976,0
2017/11/1,722.01001,724.599976,700,720.380005,720.380005,0
2017/12/1,717.710022,725.159973,710,721.789978,721.789978,0
2018/1/1,721.789978,724.77002,700,711,711,0
2018/2/1,724.280029,728.369995,710,711,711,0
2018/3/1,723.929993,727.150024,710,715,715,0
2018/4/1,721.98999,726.669983,695.450012,711,711,0
2018/5/1,723.140015,728.640015,664.669983,710,710,0
2018/6/1,721.369995,739.090027,368.690002,585.289978,585.289978,0
2018/7/1,724.039978,726.75,710,717.130005,717.130005,0
2018/8/1,724.75,727.030029,710,718.799988,718.799988,0
2018/9/1,724.72998,728.900024,718.169983,718.830017,718.830017,0
2018/10/1,722.289978,730.880005,710,705,705,0
2018/11/1,726.22998,730.840027,700,700,700,0
2018/12/1,728.150024,756.590027,689.679993,748.919983,748.919983,0
2019/1/1,723.909973,756.659973,700,719,719,0
2019/2/1,728.73999,730.51001,713.469971,719,719,0
2019/3/1,729.390015,733.890015,705,707.960022,707.960022,0
2019/4/1,728.659973,736.030029,705,718.049988,718.049988,0
2019/5/1,732.469971,745.929993,693.469971,693.820007,693.820007,0
2019/6/1,745.929993,774.859985,693.469971,736.929993,736.929993,0
2019/7/1,773.150024,779.429993,723.960022,725,725,0
2019/8/1,746.299988,746.299988,711.01001,710,710,0
2019/9/1,729.609985,741,701.77002,731.059998,731.059998,0
2019/10/1,732.619995,733.570007,715,720,720,0
2019/11/1,729.968872,734.36908,720,725,725,0
2019/12/1,727.670288,736.114319,705,720,720,0
2020/1/1,736.599976,736.599976,715,720,720,0
2020/2/1,732.486206,735.523315,710,725,725,0
2020/3/1,730.08429,736.572876,720,720,720,0
2020/4/1,727.406372,738.018188,720,720,720,0
2020/5/1,727.975586,735.867615,720,720,720,0
2020/6/1,733.854614,739.118225,720,725,725,0
2020/7/1,732.116577,739.959595,720,725,725,0
2020/8/1,731.618225,751.17041,720,745.958313,745.958313,0
2020/9/1,743.776184,753.095093,725,741,741,0
2020/10/1,747.424377,756.797485,740,754.501282,754.501282,0
2020/11/1,753.610107,759.600952,740,750,750,0
2020/12/1,759.611206,767.427979,750,755,755,0
2021/1/1,771.379944,773.275391,750,765,765,0
2021/2/1,767.845093,777.846069,760,777.7724,777.7724,0
2021/3/1,779.49646,785.537781,760,775,775,0
2021/4/1,780.911194,789.093445,770,775,775,0
2021/5/1,789.058167,797.558899,770,770,770,0
2021/6/1,791.608704,807.694885,770,790,790,0
2021/7/1,802.26532,809.701599,780,809.701599,809.701599,0
2021/8/1,809.074707,813.230042,780,809.569458,809.569458,0
2021/9/1,811.252014,816.434204,790,800,800,0
2021/10/1,812.851624,813.87793,800,800,800,0
2021/11/1,818.901245,818.901245,799,800,800,0
2021/12/1,815.435059,818.663391,790,798,798,0
2022/1/1,813.303101,817.510803,798,812.195251,812.195251,0
2022/2/1,808.520142,815.080444,785,794.184387,794.184387,0
2022/3/1,808.175049,816.879639,788,802,802,0
2022/4/1,815.23407,818.53894,794,797,797,0
2022/5/1,811.489014,1022.289978,796,1017.537292,1017.537292,0
2022/6/1,1014.875122,1030.162354,998,1022.010498,1022.010498,0
2022/7/1,1015.631592,1030.599731,1003,1000,1000,0
2022/8/1,1025.22644,1032.633911,1001,1004,1004,0
2022/9/1,1017.674316,1042.899414,998.909973,1011,1011,0
2022/10/1,1010.811218,1032.716919,1003,1013,1013,0
2022/11/1,1030.413086,1033.714966,999.855408,1009,1009,0
2022/12/1,1014.264954,1027.917236,1002,1008,1008,0
2023/1/1,1021.257996,1030.992676,999,1023.171509,1023.171509,0
2023/2/1,1021.425598,1036.391235,1002,1005,1005,0
2023/3/1,1025.650635,1044.798706,1001,1009,1009,0
2023/4/1,1022.924744,1030.5802,1003,1012,1012,0
2023/5/1,1020.711365,1028.226196,1006,1011,1011,0
2023/6/1,1021.681946,1055.095459,1002,1038,1038,0
2023/7/1,1055.095459,1064.825806,1033,1046.346191,1046.346191,0
2023/8/1,1054.437256,1087.585815,1036,1075.85376,1075.85376,0
2023/9/1,1074.353149,1113.67981,10.76,1065,1065,0
2023/10/1,1079.58252,1166.017334,1065,1127,1127,0
2023/11/1,1133.382935,1685.599976,1100,1667,1667,0
2023/12/1,1681.015137,1690.872437,1369,1682.963257,1682.963257,0
2024/1/1,1685.402466,1687.499146,1664,1666,1666,0
2024/2/1,1684.383911,1697.368652,1664,1681.599243,1681.599243,0
2024/3/1,1681.900146,1739.691406,1665.424561,1727.352661,1727.352661,0
2024/4/1,1728.91333,1749.467041,1715,1725.462646,1725.462646,0
