"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Manufacturing","Importing","Blending","Wholesaling","Retailing","Election0","Election1","WorldPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"67","Ghana 2015",2015-04-01,"2015",50033.911736,534.327651515152,4,3.84,"Ghana",0,0.489704401940148,365.885416666667,0,3,3,3,100,"0","0",260,274.327651515152,1.46036881268198,311.947026794959,-0.210319384932518
"68","Ghana 2016",2016-02-01,"2016",56165.172896,575.918251782451,2,3.8851,"Ghana",0,0.563832707971081,447.22143574168,0,3,3,3,100,"0","1",191.88,384.038251782451,1.28776978417266,310.390781450713,-0.175110563635826
"69","Ghana 2016",2016-01-01,"2016",56165.172896,555.555555555556,1,3.96,"Ghana",0,0.559805985174339,429.292929292929,0,3,3,3,100,"0","1",233.88,321.675555555556,1.29411764705882,315.378517769468,-0.175110563635826
"70","Ghana 2016",2016-07-01,"2016",56165.172896,553.384585259537,7,3.9153,"Ghana",0,0.600988377413746,485.275713227594,0,3,3,3,100,"0","1",181,372.384585259537,1.14035087719298,169.34134094713,-0.175110563635826
"71","Ghana 2016",2016-10-01,"2016",56165.172896,536.040337035362,10,3.9798,"Ghana",0,0.606662395900064,452.284034373587,0,3,3,3,100,"0","1",187.5,348.540337035362,1.18518518518519,206.024394774317,-0.175110563635826
"72","Ghana 2016",2016-12-01,"2016",56165.172896,479.687314935449,12,4.2215,"Ghana",0,0.61736981788231,284.259149591377,0,3,3,3,100,"0","1",217.75,261.937314935449,1.6875,322.038422752053,-0.175110563635826
"73","Ghana 2016",2016-08-01,"2016",56165.172896,545.740684333435,8,3.9396,"Ghana",0,0.5972362038986,469.590821403188,0,3,3,3,100,"0","1",186.25,359.490684333435,1.16216216216216,709.894488850538,-0.175110563635826
"74","Ghana 2016",2016-06-01,"2016",56165.172896,561.941251596424,6,3.915,"Ghana",0,0.595771941063421,485.312899106003,0,3,3,3,100,"0","1",142.63,419.311251596424,1.15789473684211,253.082336448598,-0.175110563635826
"75","Ghana 2016",2016-09-01,"2016",56165.172896,540.371674392293,9,3.9479,"Ghana",0,0.598151368170587,455.938600268497,0,3,3,3,100,"0","1",187.3,353.071674392293,1.18518518518519,309.879738572797,-0.175110563635826
"76","Ghana 2016",2016-04-01,"2016",56165.172896,588.681466722516,4,3.7857,"Ghana",0,0.581312345566029,480.756531156721,0,3,3,3,100,"0","1",196.25,392.431466722516,1.22448979591837,267.776666922545,-0.175110563635826
