Date,Open,High,Low,Close,Adj Close,Volume
2007/8/1,0.91166,0.92531,0.90595,0.91568,0.91568,0
2007/9/1,0.91568,0.9314,0.91003,0.92533,0.92533,0
2007/10/1,0.92543,0.94727,0.91845,0.94419,0.94419,0
2007/11/1,0.94419,1.0236,0.91947,0.94937,0.94937,0
2007/12/1,0.94937,0.97752,0.92116,0.97572,0.97572,0
2008/1/1,0.97572,0.97702,0.94215,0.9563,0.9563,0
2008/2/1,0.9563,0.97396,0.9448,0.96228,0.96228,0
2008/3/1,0.96269,20.549,0.94186,0.97795,0.97795,0
2008/4/1,0.97221,0.99614,0.94497,0.98278,0.98278,0
2008/5/1,0.99202,1.0224,0.96386,1.0185,1.0185,0
2008/6/1,1.018,1.0821,0.98561,1.0811,1.0811,0
2008/7/1,1.0803,1.1477,1.0182,1.1427,1.1427,0
2008/8/1,1.155,1.17,1.124,1.1417,1.1417,0
2008/9/1,1.142,1.1709,1.09,1.1617,1.1617,0
2008/10/1,1.1615,1.1885,1.1108,1.154,1.154,0
2008/11/1,1.154,1.2075,1.1194,1.2054,1.2054,0
2008/12/1,1.2057,1.2928,1.1813,1.2555,1.2555,0
2009/1/1,1.2555,1.3356,1.2329,1.3176,1.3176,0
2009/2/1,1.3176,1.3893,1.3028,1.3706,1.3706,0
2009/3/1,1.3706,1.4244,1.3304,1.4016,1.4016,0
2009/4/1,1.4017,1.4721,1.38,1.4394,1.4394,0
2009/5/1,1.4394,1.4714,1.4054,1.455,1.455,0
2009/6/1,1.4551,1.5085,1.4408,1.4866,1.4866,0
2009/7/1,1.4865,1.4992,1.4638,1.4711,1.4711,0
2009/8/1,1.4711,1.4773,1.4337,1.4401,1.4401,0
2009/9/1,1.4497,1.4517,1.422,1.4321,1.4321,0
2009/10/1,1.4391,1.4418,1.4037,1.4221,1.4221,0
2009/11/1,1.4221,1.4366,1.3967,1.4118,1.4118,0
2009/12/1,1.412,1.4481,1.3945,1.4217,1.4217,0
2010/1/1,1.4217,1.434,1.3905,1.4221,1.4221,0
2010/2/1,1.4222,1.4357,1.3901,1.4039,1.4039,0
2010/3/1,1.4038,1.4183,1.3811,1.399,1.399,0
2010/4/1,1.3988,1.42,1.3682,1.3997,1.3997,0
2010/5/1,1.3997,1.4351,1.3634,1.4096,1.4096,0
2010/6/1,1.4058,1.4508,1.4039,1.415,1.415,0
2010/7/1,1.4075,1.4565,1.4011,1.42,1.42,0
2010/8/1,1.4166,1.433,1.4081,1.4138,1.4138,0
2010/9/1,1.415,1.434,1.4035,1.4225,1.4225,0
2010/10/1,1.4003,1.435,1.3553,1.425,1.425,0
2010/11/1,1.4213,1.445,1.4105,1.451,1.451,0
2010/12/1,1.4263,1.485,1.4148,1.47,1.47,0
2011/1/1,1.4675,1.56,1.4556,1.5349,1.5349,0
2011/2/1,1.5365,1.5581,1.4745,1.495,1.495,0
2011/3/1,1.4964,1.53,1.4944,1.5225,1.5225,0
2011/4/1,1.5035,1.515,1.4604,1.49,1.49,0
2011/5/1,1.488,1.5214,1.4852,1.4857,1.4857,0
2011/6/1,1.486,1.5185,1.4753,1.515,1.515,0
2011/7/1,1.4931,152,1.48,1.505,1.505,0
2011/8/1,1.4952,1.527,1.4821,1.5109,1.5109,0
2011/9/1,1.5111,1.5875,1.5105,1.5689,1.5689,0
2011/10/1,1.583,1.629,1.572,1.5809,1.5809,0
2011/11/1,1.6055,1.6252,1.5795,1.6238,1.6238,0
2011/12/1,1.6297,1.663,1.6086,1.616,1.616,0
2012/1/1,1.6205,1.745,1.6131,1.6209,1.6209,0
2012/2/1,1.7,1.705,1.6563,1.7,1.7,0
2012/3/1,1.6818,1.78,1.6818,1.7568,1.7568,0
2012/4/1,1.7572,1.85,1.754,1.8319,1.8319,0
2012/5/1,1.853,1.9025,1.8307,1.8819,1.8819,0
2012/6/1,1.8728,1.9425,1.8565,1.9106,1.9106,0
2012/7/1,1.9167,1.9665,1.9158,1.9323,1.9323,0
2012/8/1,1.9342,1.965,1.9096,1.9158,1.9158,0
2012/9/1,1.9133,1.92,1.8617,1.8874,1.8874,0
2012/10/1,1.8905,1.8975,1.8522,1.8575,1.8575,0
2012/11/1,1.8689,1.906,1.8557,1.8893,1.8893,0
2012/12/1,1.8847,1.9025,1.8621,1.8782,1.8782,0
2013/1/1,1.8837,1.91,1.8647,1.8808,1.8808,0
2013/2/1,1.8851,1.917,1.8736,1.894,1.894,0
2013/3/1,1.8996,1.94,1.8923,1.916,1.916,0
2013/4/1,1.9355,1.97,1.9064,1.9537,1.9537,0
2013/5/1,1.9555,1.995,1.9338,1.9669,1.9669,0
2013/6/1,1.995,2.04,1.9773,2.011,2.011,0
2013/7/1,2.0105,2.09,1.9945,2.09,2.09,0
2013/8/1,2.0605,2.15,2.0486,2.1116,2.1116,0
2013/9/1,2.136,2.18,2.1354,2.1587,2.1587,0
2013/10/1,2.1616,2.1966,2.1586,2.1966,2.1966,0
2013/11/1,2.2066,2.2775,2.2066,2.2594,2.2594,0
2013/12/1,2.2594,2.3672,2.2543,2.365,2.365,0
2014/1/1,2.3509,2.4523,2.3098,2.37,2.37,0
2014/2/1,2.3723,2.555,2.37,2.555,2.555,0
2014/3/1,2.538,2.69,2.511,2.6706,2.6706,0
2014/4/1,2.6666,2.83,2.666,2.82,2.82,0
2014/5/1,2.8038,2.9926,2.8004,2.99,2.99,0
2014/6/1,2.983,3.39,2.9464,3.39,3.39,0
2014/7/1,3.2066,3.7,3.0805,3.7,3.7,0
2014/8/1,3.4162,3.8814,3.3332,3.7817,3.7817,0
2014/9/1,3.7829,3.807,0.6,3.2041,3.2041,0
2014/10/1,3.2606,3.29,3.1222,3.1826,3.1826,0
2014/11/1,3.2198,3.2411,3.1641,3.181,3.181,0
2014/12/1,3.1919,3.2263,3.1628,3.18,3.18,0
2015/1/1,3.2095,3.375,3.17,3.33,3.33,0
2015/2/1,3.2884,3.5,3.2316,3.5,3.5,0
2015/3/1,3.4946,3.8056,3.47,3.74,3.74,0
2015/4/1,3.806,3.85,3.7521,3.84,3.84,0
2015/5/1,3.8169,4.0791,3.8082,4.01,4.01,0
2015/6/1,4.0369,4.4649,4.03,4.39,4.39,0
2015/7/1,4.3565,4.405,3.1941,3.72,3.72,0
2015/8/1,3.8283,4.3362,3.65,4.0555,4.0555,0
2015/9/1,3.8978,380,3.7152,3.74,3.74,0
2015/10/1,3.7323,3.8577,3.63,3.77,3.77,0
2015/11/1,3.8313,3.88,3.7433,3.7717,3.7717,0
2015/12/1,3.7942,3.8282,3.6598,3.81,3.81,0
2016/1/1,3.8198,38.709999,3.771,3.96,3.96,0
2016/2/1,3.9946,4.0268,3.8515,3.8851,3.8851,0
2016/3/1,3.8607,3.925,3.7898,3.8242,3.8242,0
2016/4/1,3.8175,3.8397,3.7642,3.7857,3.7857,0
2016/5/1,3.7804,3.8865,3.77,3.8451,3.8451,0
2016/6/1,3.8204,3.9728,3.7915,3.915,3.915,0
2016/7/1,3.9452,3.9703,3.8902,3.9153,3.9153,0
2016/8/1,3.917,3.9694,3.8989,3.9396,3.9396,0
