"","Year","Dates","cy","GDP","LocalUreaPrice","Month","ExchangeRate","Country","RealInterest","CPI","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsImportingFert","FuelPrice","SharePrivateSectorSalesAnnual"
"778","2012",2012-04-01,"Tanzania 2012",40379.782996,1560660,4,1560.699951,"Tanzania",4.59141372170384,0.634056255327209,276.671720097978,"0","0",12395,4052.22433793442,494.38,89.35,6.9188829290718,3.61429929129016,528.576887384683,-0.764619529247284,-0.00568638736823956,0.00824901565479325,0.66,16498.42,13,2086.8,1
"779","2012",2012-05-01,"Tanzania 2012",40379.782996,1395825.71428571,5,1574.5,"Tanzania",4.59141372170384,0.636329197840705,304.749401079708,"0","0",12395,4052.22433793442,513.13,96.53,6.61577237977512,2.9090130465471,395.530644204774,-0.764619529247284,0.00880335438874091,0.003578354794877,0.66,16498.42,13,2086.8,1
"780","2012",2012-06-01,"Tanzania 2012",40379.782996,1654160,6,1539.099976,"Tanzania",4.59141372170384,0.636992139407141,310.98074684136,"0","0",12395,4052.22433793442,456.88,96.09,7.11943884973995,3.45602743293856,389.866474419885,-0.764619529247284,-0.0227399471487004,0.0010412793800651,0.66,16498.42,13,2086.8,1
"781","2012",2012-07-01,"Tanzania 2012",40379.782996,1414336,7,1556,"Tanzania",4.59141372170384,0.637655080973577,307.878532133676,"0","0",12395,4052.22433793442,307.5,100.95,7.09250174972436,2.95232113749932,543.963152719557,-0.764619529247284,0.0109206113459575,0.00104019624506596,0.66,16498.42,13,2086.8,1
"782","2012",2012-08-01,"Tanzania 2012",40379.782996,1568948.57142857,8,1554.300049,"Tanzania",4.59141372170384,0.642106260062506,296.352216096469,"0","0",12395,4052.22433793442,382.5,99.63,7.13397395752955,3.40616489123581,392.446047687793,-0.764619529247284,-0.00109311072403973,0.00695629238916023,0.66,16498.42,13,2086.8,1
"783","2012",2012-09-01,"Tanzania 2012",40379.782996,1519541.26984127,9,1558.400024,"Tanzania",4.59141372170384,0.649398617293304,317.494509997518,"0","0",12395,4052.22433793442,384.38,98.58,7.07443072362964,3.07112386984452,397.21002765431,-0.764619529247284,0.00263435427438452,0.0112929263499231,0.66,16498.42,13,2086.8,1
"784","2012",2012-10-01,"Tanzania 2012",40379.782996,1470133.96825397,10,1561.5,"Tanzania",4.59141372170384,0.651387441992613,348.372037143772,"0","0",12395,4052.22433793442,349,105.7,7.07747900552032,2.70253691974994,151.22438517602,-0.764619529247284,0.00198722843445154,0.00305788370784721,0.66,16498.42,13,2086.8,1
"785","2012",2012-11-01,"Tanzania 2012",40379.782996,1420726.66666667,11,1581.300049,"Tanzania",4.59141372170384,0.655743915143479,376.557274109083,"0","0",12395,4052.22433793442,383.5,109.37,6.93722731135415,2.38597124993148,159.520504731861,-0.764619529247284,0.0126004267933002,0.00666572530388826,0.66,16498.42,13,2086.8,1
"786","2012",2012-12-01,"Tanzania 2012",40379.782996,1389423.33333333,12,1554.800049,"Tanzania",4.59141372170384,0.668529216781892,430.520874005967,"0","0",12395,4052.22433793442,375.83,107.04,6.94274632913472,2.07570594424174,426.152699393036,-0.764619529247284,-0.0169003730230584,0.0193097610993725,0.66,16498.42,13,2086.8,1
"787","2013",2013-01-01,"Tanzania 2013",46749.830038,1358120,1,1591.099976,"Tanzania",5.64864168084363,0.677242163083625,443.717145779154,"0","0",13000,4673.72980918131,380,107.61,6.85345439387768,1.92368724266405,413.334751169715,-0.780951321125031,0.0230786343365317,0.0129488086529238,0.66,16498.42,13,2086.8,1
"788","2013",2013-02-01,"Tanzania 2013",46749.830038,1383391.42857143,2,1600.199951,"Tanzania",5.64864168084363,0.686902168765982,443.428572508436,"0","0",13000,4673.72980918131,415.63,107.54,6.79990758913858,1.94960735275057,313.751147300337,-0.780951321125031,0.00570300496494447,0.0141629693150164,0.66,16498.42,13,2086.8,1
