"","Location","mean(is.na(`Open Market Retail Price`))"
"1","Accra",0.84472049689441
"2","Adanse Asokwa",0.981366459627329
"3","Agona",0.993788819875776
"4","Akatsi",0.993788819875776
"5","Akim Oda",0.968944099378882
"6","Akropong",0.987577639751553
"7","Asamankese",0.962732919254658
"8","Atebubu",0.993788819875776
"9","Bawku",0.944099378881988
"10","Bechem",0.993788819875776
"11","Bibiani",0.987577639751553
"12","Bogoso",0.981366459627329
"13","Bolgatanga",0.906832298136646
"14","Cape Coast",0.975155279503106
"15","Chana",0.968944099378882
"16","Chereponi",0.993788819875776
"17","Dunkwa",0.751552795031056
"18","Ejura",0.93167701863354
"19","Elmina",0.888198757763975
"20","Fumso",0.838509316770186
"21","Goaso",0.987577639751553
"22","Guschiegu",0.962732919254658
"23","Gwallu",0.863354037267081
"24","Ho",0.397515527950311
"25","Hohoe",0.900621118012422
"26","Kadjebi",0.993788819875776
"27","Kasoa",0.900621118012422
"28","Kintampo",0.968944099378882
"29","Koforidua",0.950310559006211
"30","Kpandu",0.592592592592593
"31","Kpasa",0.987577639751553
"32","Kumasi",0.944099378881988
"33","La Nkwantanang Madina",0.993788819875776
"34","Lawra",0.968944099378882
"35","Mankesim",0.683229813664596
"36","Nalerigu",0.987577639751553
"37","Nante",0.993788819875776
"38","Navrongo",0.571428571428571
"39","Nkawkaw",0.987577639751553
"40","Nkoranza",0.695652173913043
"41","Nsawam",0.884146341463415
"42","Nyankpala",0.975155279503106
"43","Okrajei",0.993788819875776
"44","Old Buipe",0.987577639751553
"45","Samreboi Nkwanta",0.987577639751553
"46","Sandema",0.987577639751553
"47","Sefwi Wiawso",0.987577639751553
"48","Sege",0.670807453416149
"49","Sunyani",0.763975155279503
"50","Swedru",0.968944099378882
"51","Takoradi",0.944099378881988
"52","Tamale",0.49390243902439
"53","Tano South",0.993788819875776
"54","Tarkwa",0.683229813664596
"55","Techiman",0.813664596273292
"56","Tema",0.993788819875776
"57","Tuobodum",0.993788819875776
"58","Wa",0.975155279503106
"59","Winneba",0.919254658385093
"60","Yapei",0.987577639751553
"61","Yendi",0.987577639751553
